,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Nelson Bay,AU,-32.7167,152.15,62.65,86,100,24.45,light rain
302,Mount Pleasant,US,32.7941,-79.8626,64.38,75,75,9.22,broken clouds
303,Cabo San Lucas,MX,22.8909,-109.9124,76.03,66,99,6.31,overcast clouds
304,Jensen Beach,US,27.2545,-80.2298,78.85,53,20,9.22,few clouds
305,Shellbrook,CA,53.2168,-106.4011,20.43,86,100,6.91,overcast clouds
306,Lompoc,US,34.6391,-120.4579,48.92,45,1,10.36,clear sky
307,Flinders,AU,-34.5833,150.8552,58.28,89,100,19.33,overcast clouds
308,Karakol,KG,42.4907,78.3936,26.28,94,100,5.66,light snow
309,High Level,CA,58.5169,-117.136,14.11,100,75,2.3,broken clouds
310,Kalevala,RU,65.2,31.1667,20.01,88,100,9.48,overcast clouds
311,Markova,UA,48.6758,24.4138,36.99,77,100,2.93,overcast clouds
312,Khatanga,RU,71.9667,102.5,-1.86,97,99,10.25,overcast clouds
313,Kieta,PG,-6.2167,155.6333,78.19,85,62,3.65,light rain
314,Usinsk,RU,65.9939,57.5281,-2.38,98,96,10.63,overcast clouds
315,Coquimbo,CL,-29.9533,-71.3436,64.13,72,75,11.5,broken clouds
316,Samarai,PG,-10.6167,150.6667,81.01,76,83,2.66,broken clouds
317,Emilio Carranza,MX,19.9711,-96.6114,72.01,88,61,11.54,broken clouds
318,Jaciara,BR,-15.9653,-54.9683,86.45,59,100,6.42,light rain
319,Richards Bay,ZA,-28.783,32.0377,66.87,66,100,6.64,overcast clouds
320,Gamba,GA,-2.65,10.0,78.73,86,71,8.68,moderate rain
321,Hobyo,SO,5.3505,48.5268,81.28,75,99,14.45,overcast clouds
322,Kavaratti,IN,10.5669,72.642,82.2,74,100,4.18,overcast clouds
323,Aksarka,RU,66.5606,67.7975,-8.91,93,33,6.76,scattered clouds
324,Guilin,CN,25.2819,110.2864,48.31,74,0,5.5,clear sky
325,Saurimo,AO,-9.6608,20.3916,66.42,96,73,4.59,light rain
326,Lazo,RU,43.3817,133.9014,17.49,88,84,7.31,broken clouds
327,Kruisfontein,ZA,-34.0033,24.7314,63.93,77,100,28.7,overcast clouds
328,Guanica,PR,17.9716,-66.908,83.08,55,30,3.06,scattered clouds
329,Mpanda,TZ,-6.3655,31.0409,65.17,92,77,2.73,light rain
330,Gberia Fotombu,SL,9.8833,-11.1667,87.75,36,78,0.63,broken clouds
331,Carnarvon,AU,-24.8667,113.6333,77.07,50,0,12.66,clear sky
332,Sitka,US,57.0531,-135.33,35.49,75,75,11.5,light snow
